experiment	commit	metric	status	description
0	c89fb51	0.532667	baseline	unmodified code
1	fd69721	0.507333	discard	disable Lancaster stemming in tokenization
2	745f606	0.357333	discard	disable stopword filtering in tokenization
3	8f87ca3	0.344667	discard	disable stemming and stopword filtering
4	bef4a66	0.544000	keep	include authors and venue text in document representation
5	94bc527	0.535333	discard	reduce title repetition from 3x to 2x with metadata fields
6	c697895	0.547333	discard	increase title repetition from 3x to 4x with metadata fields
7	992c609	0.543333	discard	retune BM25Plus to k1=1.8 and b=0.6
8	c7d7db4	0.540000	discard	retune BM25Plus to k1=3.5 and b=0.95
9	43959e1	0.524000	discard	disable bigram expansion in tokenization
10	334d464	0.524000	discard	use unigrams-only for document indexing, keep query bigrams
11	bc27f66	0.544000	discard	include pubkey identifier in document text
12	53ffef9	0.533333	discard	switch ranker from BM25Plus to BM25Okapi
13	c1494b8	0.508667	discard	keep query stopwords while still removing them in documents
14	ede7954	0.550667	discard	increase title repetition from 3x to 6x with metadata fields
15	4edd336	0.552000	discard	increase title repetition from 3x to 8x with metadata fields
16	a797986	0.551333	discard	increase title repetition from 3x to 10x with metadata fields
17	887b367	0.547333	discard	combine stronger title weighting (8x) with BM25 k1=3.5 b=0.95
18	824203d	0.546667	discard	combine stronger title weighting (8x) with BM25 k1=1.8 b=0.6
19	a142e22	0.552000	keep	increase title repetition from 3x to 8x with metadata fields
20	51ab0c1	0.426000	discard	drop abstract text and index only heavily weighted title plus metadata
21	2eb4465	0.552667	discard	strip emojis, URLs, and mentions from query text before tokenization
22	66bf9f2	0.543333	discard	increase authors and venue weighting to 2x each
23	b2e74f7	0.552000	discard	clean author strings to keep names and institutions while dropping addresses
24	5275f44	0.551333	discard	retain only author names from author metadata
25	b95fe58	0.552667	discard	trim author metadata to first two comma-separated fields per author
26	8eacae3	0.552000	discard	augment tokenization with both raw and stemmed unigrams
27	c948734	0.552000	discard	increase BM25Plus delta from default to 2.0
28	9829550	0.552000	discard	decrease BM25Plus delta from default to 0.5
29	db67776	0.000000	crash	translate de/fr query text to english with deep-translator
30	ff18bfa	0.686000	keep	translate de/fr query text to english with robust per-query fallback
31	d725e0e	0.679333	discard	simplify document text back to title(3x)+abstract with query translation
32	bac31b1	0.685333	discard	replace LancasterStemmer with SnowballStemmer(english)
33	c8bd002	0.686667	discard	clean translation input (emoji/hashtags/mentions/urls) and fallback to cleaned text
34	3917fc1	0.695333	keep	concatenate translated and original non-en query text
35	ca3c791	0.682000	discard	concatenate translated text with double-weighted original query text
36	d1c767c	0.697333	discard	double-weight translated query text plus original text
37	b99c64f	0.695333	discard	use GoogleTranslator source=auto for non-en query translation
38	57148a8	0.698000	discard	combine query cleaning with translated+original concatenation
39	7eb2c7b	0.698667	discard	combine query cleaning with double-weight translated text plus original
40	5dcc3bb	0.693333	discard	triple-weight translated text for german queries
41	45e9f79	0.686000	discard	use title(8x)+abstract only, remove authors/venue from document text
42	5ee50d1	0.694667	discard	increase title weighting from 8x to 10x with translation concat setup
43	a3195d1	0.683333	discard	disable query bigrams while keeping document bigrams
44	566d1c6	0.695333	discard	retry failed translations with truncated query text before fallback
45	cec2aa1	0.686000	discard	retune BM25Plus to k1=1.2 b=0.75 under translation concat setup
46	af4511e	0.694000	discard	retune BM25Plus to k1=4.0 b=0.95 under translation concat setup
47	bf8ac56	0.694000	discard	for french queries use translated text only; keep de as translated+original
48	ed2d892	0.694667	discard	use SnowballStemmer(english) under translation+original concat setup
49	d2f6d0e	0.686000	discard	disable stemming while keeping translation+original concat strategy
50	dfde999	0.695333	discard	run english queries through same translation+concat normalization path
51	e8468c7	0.700667	keep	concat translated text with filtered original keywords (len>=5, non-stopword)
52	eadc0ab	0.695333	discard	lower filtered original token cutoff from len>=5 to len>=4
53	5521741	0.700667	discard	raise filtered original token cutoff from len>=5 to len>=6
54	ff6d2a7	0.702000	discard	restrict filtered original tokens to alphabetic words only
55	146e859	0.702667	discard	filter original tokens to alphabetic words with len>=6
56	d19e5b1	0.698667	discard	combine cleaned queries, strict original keyword filter, and double translated weighting
57	70e5cb4	0.702000	discard	limit filtered original keyword carryover to first 12 tokens
58	54d1a97	0.698000	discard	limit filtered original keyword carryover to first 6 tokens
59	fc89cc4	0.701333	discard	deduplicate filtered original keyword terms before concatenation
60	486b019	0.704667	discard	dedupe original keywords and restrict to alphabetic tokens with len>=6
61	5c16d9a	0.705333	discard	clean query text and use deduped alpha original keywords (len>=6)
62	47b6f12	0.703333	discard	clean query text and use deduped alpha original keywords (len>=5)
63	ff82a1d	0.704667	discard	deduped alpha len>=6 original keywords with normalized fallback on translation failure
64	006ca2e	0.703333	discard	dedupe original keywords and restrict to alphabetic tokens with len>=7
65	f4ed87c	0.704000	discard	combine deduped alpha len>=6 query keywords with title weighting 10x
66	3722d9b	0.704000	discard	combine deduped alpha len>=6 query keywords with BM25 k1=3.0 b=0.9
67	9144faf	0.705333	discard	strict deduped alpha len>=6 keywords with hashtag cleanup and normalized fallback
68	0d8491c	0.705333	discard	strict deduped alpha len>=6 keywords without stopword filtering
69	51b52e3	0.705333	discard	strict alpha len>=6 keywords with k1=3.5 b=0.85
70	0e54f3c	0.700667	discard	strict alpha len>=6 keywords with double-weight translated text
71	ac75478	0.705333	keep	clean query text plus deduped alpha original keywords len>=6
72	579f7fe	0.703333	discard	allow alphanumeric original keywords (keep len>=6, dedupe, stopword filter)
73	bffa0a8	0.704000	discard	switch to SnowballStemmer(english) on cleaned strict-query translation setup
74	515fb24	0.704000	discard	run english queries through translation path in strict cleaned setup
